"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Labour productivity and related measures by business sector industry and by non-commercial activity consistent with the industry accounts, inactive","36100480","383-0033","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610048001",1;2,"ARCHIVED -  a cube publicly available but no longer being updated","Annual","1997-01-01","2024-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Labour productivity and related measures",,""
"3","Industry",15,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"3","Commercial and service industry machinery manufacturing","[BS3333]","117","115","",,
"3","Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","[BS3334]","118","113","",,
"3","Metalworking machinery manufacturing","[BS3335]","119","113","",,
"3","Engine, turbine and power transmission equipment manufacturing","[BS3336]","120","113","",,
"3","Other general-purpose machinery manufacturing","[BS3339]","121","113","",,
"3","Computer and electronic product manufacturing","[BS334]","122","53","",,
"3","Computer and peripheral equipment manufacturing","[BS3341]","123","122","",,
"3","Communications equipment manufacturing","[BS3342]","124","122","",,
"3","Semiconductor and other electronic component manufacturing","[BS3344]","125","122","",,
"3","Other electronic product manufacturing","[BS334A]","126","122","",39,
"3","Electrical equipment, appliance and component manufacturing","[BS335]","127","53","",,
"3","Electric lighting equipment manufacturing","[BS3351]","128","127","",,
"3","Household appliance manufacturing","[BS3352]","129","127","",,
"3","Electrical equipment manufacturing","[BS3353]","130","127","",,
"3","Other electrical equipment and component manufacturing","[BS3359]","131","127","",,
"3","Transportation equipment manufacturing","[BS336]","132","53","",,
"3","Motor vehicle manufacturing","[BS3361]","133","132","",,
"3","Automobile and light-duty motor vehicle manufacturing","[BS33611]","134","133","",,
"3","Heavy-duty truck manufacturing","[BS33612]","135","133","",,
"3","Motor vehicle body and trailer manufacturing","[BS3362]","136","132","",,
"3","Motor vehicle parts manufacturing","[BS3363]","137","132","",,
"3","Motor vehicle gasoline engine and engine parts manufacturing","[BS33631]","138","137","",,
"3","Motor vehicle electrical and electronic equipment manufacturing","[BS33632]","139","137","",,
"3","Motor vehicle steering and suspension components (except spring) manufacturing","[BS33633]","140","137","",,
"3","Motor vehicle brake system manufacturing","[BS33634]","141","137","",,
"3","Motor vehicle transmission and power train parts manufacturing","[BS33635]","142","137","",,
"3","Motor vehicle seating and interior trim manufacturing","[BS33636]","143","137","",,
"3","Motor vehicle metal stamping","[BS33637]","144","137","",,
"3","Other motor vehicle parts manufacturing","[BS33639]","145","137","",,
"3","Aerospace product and parts manufacturing","[BS3364]","146","132","",,
"3","Railroad rolling stock manufacturing","[BS3365]","147","132","",,
"3","Ship and boat building","[BS3366]","148","132","",,
"3","Other transportation equipment manufacturing","[BS3369]","149","132","",,
"3","Furniture and related product manufacturing","[BS337]","150","53","",,
"3","Household and institutional furniture and kitchen cabinet manufacturing","[BS3371]","151","150","",,
"3","Office furniture (including fixtures) manufacturing","[BS3372]","152","150","",,
"3","Other furniture-related product manufacturing","[BS3379]","153","150","",,
"3","Miscellaneous manufacturing","[BS339]","154","53","",,
"3","Medical equipment and supplies manufacturing","[BS3391]","155","154","",,
"3","Other miscellaneous manufacturing","[BS3399]","156","154","",,
"3","Service-producing businesses","","157","2","",40,
"3","Wholesale trade","[BS41]","158","157","",,
"3","Farm product wholesaler-distributors","[BS411]","159","158","",,
"3","Petroleum product wholesaler-distributors","[BS412]","160","158","",,
"3","Food, beverage and tobacco wholesaler-distributors","[BS413]","161","158","",,
"3","Personal and household goods wholesaler-distributors","[BS414]","162","158","",,
"3","Motor vehicle and parts wholesaler-distributors","[BS415]","163","158","",,
"3","Building material and supplies wholesaler-distributors","[BS416]","164","158","",,
"3","Machinery, equipment and supplies wholesaler-distributors","[BS417]","165","158","",,
"3","Miscellaneous wholesaler-distributors","[BS418]","166","158","",,
"3","Wholesale electronic markets, and agents and brokers","[BS419]","167","158","",,
"3","Retail trade","[BS4A]","168","157","",87,
"3","Motor vehicle and parts dealers","[BS441]","169","168","",,
"3","Furniture and home furnishings stores","[BS442]","170","168","",,
"3","Electronics and appliance stores","[BS443]","171","168","",,
"3","Building material and garden equipment and supplies dealers","[BS444]","172","168","",,
"3","Food and beverage stores","[BS445]","173","168","",,
"3","Health and personal care stores","[BS446]","174","168","",,
"3","Gasoline stations","[BS447]","175","168","",,
"3","Clothing and clothing accessories stores","[BS448]","176","168","",,
"3","Sporting goods, hobby, book and music stores","[BS451]","177","168","",,
"3","General merchandise stores","[BS452]","178","168","",,
"3","Miscellaneous store retailers","[BS453]","179","168","",,
"3","Non-store retailers","[BS454]","180","168","",,
"3","Transportation and warehousing","[BS4B]","181","157","",,
"3","Air transportation","[BS481]","182","181","",,
"3","Rail transportation","[BS482]","183","181","",,
"3","Water transportation","[BS483]","184","181","",,
"3","Truck transportation","[BS484]","185","181","",,
"3","Transit, ground passenger and scenic and sightseeing transportation","[BS48Z]","186","181","",41,
"3","Urban transit systems","[BS4851]","187","186","",,
"3","Taxi and limousine service","[BS4853]","188","186","",,
"3","Other transit and ground passenger transportation and scenic and sightseeing transportation","[BS48A]","189","186","",42,
"3","Support activities for transportation","[BS488]","190","181","",,
"3","Pipeline transportation","[BS486]","191","181","",,
"3","Pipeline transportation of natural gas","[BS4862]","192","191","",,
"3","Crude oil and other pipeline transportation","[BS486A]","193","191","",43,
"3","Postal service and couriers and messengers","[BS49A]","194","181","",44,
"3","Postal service","[BS491]","195","194","",,
"3","Couriers and messengers","[BS492]","196","194","",,
"3","Warehousing and storage","[BS493]","197","181","",,
"3","Information and cultural industries","[BS51]","198","157","",,
"3","Publishing industries (except internet)","[BS511]","199","198","",,
"3","Newspaper publishers","[BS51111]","200","199","",,
"3","Periodical, book and directory publishers","[BS5111A]","201","199","",45,
"3","Software publishers","[BS5112]","202","199","",,
"3","Motion picture and sound recording industries","[BS512]","203","198","",,
"3","Motion picture and video exhibition","[BS51213]","204","203","",,
"3","Motion picture and video industries (except exhibition)","[BS5121A]","205","203","",46,
"3","Sound recording industries","[BS5122]","206","203","",,
"3","Broadcasting (except internet)","[BS515]","207","198","",,
"3","Radio and television broadcasting","[BS5151]","208","207","",,
"3","Pay and specialty television","[BS5152]","209","207","",,
"3","Telecommunications","[BS517]","210","198","",,
"3","Data processing, hosting, and related services","[BS518]","211","198","",,
"3","Other information services","[BS519]","212","198","",,
"3","Finance and insurance","[BS52]","214","157","",,
"3","Depository credit intermediation and monetary authorities","[BS52B]","215","214","",48,
"3","Monetary authorities - central bank","[BS521]","216","215","",,
"3","Local credit unions","[BS52213]","217","215","",,
"3","Banking and other depository credit intermediation","[BS5221A]","218","215","",49,
"3","Non-depository credit intermediation","[BS5222]","219","214","",,
"3","Activities related to credit intermediation","[BS5223]","220","214","",,
"3","Insurance carriers and related activities","[BS524]","221","214","",,
"3","Insurance carriers","[BS5241]","222","221","",,
"3","Agencies, brokerages and other insurance related activities","[BS5242]","223","221","",,
"3","Financial investment services, funds and other financial vehicles","[BS52A]","224","214","",50,
"3","Real estate, rental and leasing","[BS53]","225","157","",51,
"3","Real estate","[BS531]","226","225","",,
"3","Lessors of real estate","[BS5311]","227","226","",,
"3","Offices of real estate agents and brokers and activities related to real estate","[BS531A]","228","226","",52,
"3","Rental and leasing services","[BS532]","229","225","",,
"3","Automotive equipment rental and leasing","[BS5321]","230","229","",,
"3","Rental and leasing services (except automotive equipment)","[BS532A]","231","229","",53,
"3","Lessors of non-financial intangible assets (except copyrighted works)","[BS533]","232","225","",,
"3","Professional, scientific and technical services","[BS54]","233","157","",,
"3","Legal, accounting and related services","[BS541A]","234","233","",54,
"3","Legal services","[BS5411]","235","234","",,
"3","Accounting, tax preparation, bookkeeping and payroll services","[BS5412]","236","234","",,
"3","Architectural, engineering and related services","[BS5413]","237","233","",,
"3","Other professional, scientific and technical services including scientific research and development","[BS541B]","238","233","",55,
"3","Specialized design services","[BS5414]","239","238","",,
"3","Management, scientific and technical consulting services","[BS5416]","240","238","",,
"3","Scientific research and development services","[BS5417]","241","238","",,
"3","Other professional, scientific and technical services","[BS5419]","242","238","",,
"3","Computer systems design and related services","[BS5415]","243","233","",,
"3","Advertising, public relations, and related services","[BS5418]","244","233","",,
"3","Holding companies","[BS551113]","245","157","",,
"3","Administrative and support, waste management and remediation services","[BS56]","246","157","",,
"3","Administrative and support services","[BS561]","247","246","",,
"3","Office administrative services","[BS5611]","248","247","",,
"3","Employment services","[BS5613]","249","247","",,
"3","Business support services","[BS5614]","250","247","",,
"3","Travel arrangement and reservation services","[BS5615]","251","247","",,
"3","Investigation and security services","[BS5616]","252","247","",,
"3","Services to buildings and dwellings","[BS5617]","253","247","",,
"3","Facilities and other support services","[BS561A]","254","247","",56,
"3","Waste management and remediation services","[BS562]","255","246","",,
"3","Educational services","[BS61]","256","157","",,
"3","Private educational services","[BS611A]","257","256","",57,
"3","Health care and social assistance","[BS62]","258","157","",,
"3","Health care","[BS62X]","259","258","",58,
"3","Ambulatory health care services","[BS621]","260","259","",,
"3","Offices of physicians","[BS6211]","261","260","",,
"3","Offices of dentists","[BS6212]","262","260","",,
"3","Miscellaneous ambulatory health care services","[BS621A]","263","260","",59,
"3","Nursing and residential care facilities","[BS623]","264","259","",,
"3","Social assistance","[BS624]","265","258","",,
"3","Arts, entertainment and recreation","[BS71]","266","157","",,
"3","Performing arts, spectator sports and related industries, and heritage institutions","[BS71A]","267","266","",60,
"3","Amusement, gambling and recreation industries","[BS713]","268","266","",,
"3","Gambling industries","[BS7132]","269","268","",,
"3","Amusement and recreation industries","[BS713A]","270","268","",61,
"3","Accommodation and food services","[BS72]","271","157","",,
"3","Accommodation services","[BS721]","272","271","",,
"3","Traveller accommodation","[BS7211]","273","272","",,
"3","RV (recreational vehicle) parks, recreational camps, and rooming and boarding houses","[BS721A]","274","272","",62,
"3","Food services and drinking places","[BS722]","275","271","",,
"3","Other private services","[BS81]","276","157","",63,
"3","Repair and maintenance","[BS811]","277","276","",,
"3","Automotive repair and maintenance","[BS8111]","278","277","",,
"3","Repair and maintenance (except automotive)","[BS811A]","279","277","",64,
"3","Personal services and private households","[BS81A]","280","276","",65,
"3","Personal and laundry services","[BS812]","281","280","",,
"3","Funeral services","[BS8122]","282","281","",,
"3","Dry cleaning and laundry services","[BS8123]","283","281","",,
"3","Personal care services and other personal services","[BS812A]","284","281","",66,
"3","Private households","[BS814]","285","280","",,
"3","Professional and similar organizations","[BS813B]","286","276","",67,
"3","Business sector industries, excluding farms","","287","323","",68,
"3","Business sector industries, excluding private households","","288","323","",69,
"3","Service-producing businesses, excluding private households","","289","323","",70,
"3","Industrial production","","290","323","",71,
"3","Non-durable manufacturing industries","","291","323","",72,
"3","Durable manufacturing industries","","292","323","",73,
"3","Energy sector","","293","323","",74,
"3","Information and communication sector","","294","323","",75,
"3","Information and communication technology, manufacturing","","295","294","",76,
"3","Information and communication technology, services","","296","294","",77,
"3","Finance and insurance, and holding companies","[BS5B]","213","323","",47,
"3","Non-business sector industries","","297","323","",78,
"3","Non-profit institutions serving households","[NP]","298","297","",,
"3","Non-profit institutions","[NP0]","299","298","",,
"3","Non-profit education institutions","[NP6100]","300","299","",,
"3","Ambulatory health care services","[NP6210]","301","299","",,
"3","Non-profit welfare organizations","[NP6240]","302","299","",,
"3","Non-profit arts, entertainment and recreation","[NP7100]","303","299","",,
"3","Grant-making, civic, and professional and similar organizations","[NP813A]","304","299","",,
"3","Religious organizations","[NP8131]","305","299","",,
"3","Other non-profit institutions serving households","[NPA000]","306","299","",,
"3","Government sector","[GS00]","307","297","",,
"3","Government educational services","[GS610]","308","307","",,
"3","Elementary and secondary schools","[GS611100]","309","308","",79,
"3","Community colleges and C.E.G.E.P.s","[GS611200]","310","308","",80,
"3","Universities","[GS611300]","311","308","",,
"3","Other educational services","[GS611A00]","312","308","",81,
"3","Government health services","[GS620]","313","307","",82,
"3","Hospitals","[GS622000]","314","313","",83,
"3","Nursing and residential care facilities","[GS623000]","315","313","",,
"3","Federal government services","[GS911]","316","307","",,
"3","Federal government services (excluding defence)","[GS911A00]","317","316","",,
"3","Defence services","[GS911100]","318","316","",84,
"3","Provincial and territorial government services","[GS912]","319","307","",85,
"3","Local, municipal and Indigenous government services","[GS91B]","320","307","",86,
"3","Municipal government services","[GS913000]","321","320","",,
"3","Indigenous government services","[GS914000]","322","320","",,
"3","Owner-occupied dwellings","","324","1","",91,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5103","Labour Productivity Measures - Provinces and Territories (Annual)"

"Subject Code","Subject Name"
"36","Economic accounts"

"Note ID",Note
1,"This table replaces tables 36-10-0214 and 36-10-0215, which are now archived. For concepts, methods and sources, see http://www.statcan.gc.ca/imdb-bmdi/5103-eng.htm. Data by industry included in this table correspond to the Canadian System of Macroeconomic Accounts input-output detailed level of aggregation. The table is built around the Input-Output Industry Classification (IOIC). This one identifies both Institutional Sectors and Industries based on the North American Industry Classification System (NAICS). The alphanumeric codes appearing in square brackets besides each industry title represent the IOIC identification code. The first two characters of the IOIC alphanumeric codes represent the sector. IOIC codes beginning with a BS represent Business Sector industries, codes beginning with an NP represent Non-Profit Institutions Serving Household (NPISH) Sector industries, and codes beginning with a GS represent Government Sector industries. The IOIC is a hierarchical classification. IOIC codes consisting of four alpha-numeric characters represent industries at the Summary (S) level of aggregation, IOIC codes consisting of five or six alpha-numeric characters represent industries at the Medium (M) and IOIC codes consisting of eight alpha-numeric characters represent industries at the Detailed (D) level of aggregation. The classifications of the Input-Output tables can be found at the following link http://www.statcan.gc.ca/nea-cen/hr2012-rh2012/data-donnees/aggregation-agregation/aggregation-agregation-eng.htm."
2,"Provincial and territorial data are available from 1997."
3,"For Northwest Territories including Nunavut, statistics are available until 1998 inclusively. Starting in 1999, data for Northwest Territories and Nunavut are presented separately."
4,"The estimate of the total number of jobs covers two main categories: employee jobs and self-employed jobs."
5,"The number of hours worked in all jobs is the annual average for all jobs times the annual average hours worked in all jobs. According to the retained definition, hours worked means the total number of hours that a person spends working, whether paid or not. In general, this includes regular and overtime hours, breaks, travel time, training in the workplace and time lost, in brief, work stoppages where workers remain at their posts. On the other hand, time lost due to strikes, lockouts, annual vacation, public holidays, sick leave, maternity leave or leave for personal needs are not included in total hours worked."
6,"This is the annual average of hours worked per job in all categories of jobs."
7,"The total compensation for all jobs consists of all payments in cash or in kind made by domestic producers to workers for services rendered. It includes wages and salaries and employer's social contributions of employees, plus an imputed labour income for self-employed workers."
8,"For a given industry, value added is equal to its gross production (mainly sales) less its intermediate consumption (energy, raw materials, services) stemming from other industries. The value added corresponds to Gross domestic product (GDP) at basic prices which corresponds to the GDP at market prices excluding net taxes on products."
9,"Real value added is evaluated in 2017 chained dollars. A double-deflation procedure is used to measure real value added: real intermediate inputs are subtracted from real gross output. For productivity measurement, a real value added Fisher chain index is used for each industry. Chain indexes are calculated for consecutive periods to determine variation of quantities from one period to another. The chain indexes offer the advantage of reducing the variation in the values recorded by the various fixed-base indexes."
10,"Labour productivity is the ratio between real value added and hours worked. Real value added for each industry and each aggregate is constructed from a Fisher chain index."
11,"The ratio between total compensation for all jobs, and the number of hours worked. The term "hourly compensation" is often used to refer to the total compensation per hour worked."
12,"This is the labour cost per unit of output, and it equals labour compensation divided by real value added. It is also equal to the ratio of labour compensation per hour worked and labour productivity. Unit labour cost increases when labour compensation per hour worked increases more rapidly than labour productivity. It is widely used to measure long-term inflation pressures arising from wage growth."
13,"This is the unit labour cost expressed in US dollars. This is obtained by dividing the unit labour cost by the exchange rate between Canada and the United States."
14,"Labour share corresponds to the ratio of total compensation as a percentage to the nominal value added."
15,"The North American Industry Classification System (NAICS) is an industry classification system triggered by the North American Free Trade Agreement, that was developed by the statistical agencies of Canada, Mexico and the United States. It is designed to provide common definitions of the industrial structure of the three countries and a common statistical framework to facilitate the analysis of the three economies. NAICS is based on supply side or production oriented principles, to ensure that industrial data, classified to NAICS, is suitable for the analysis of production related issues such as industrial performance. Since 1997, the industry classification system of the Canadian System of Macroeconomic Accounts input-output tables is based on NAICS. In the Macroeconomic Accounts industries, the levels of the different classification systems were chosen so as to provide the most detail possible in order to maximize continuity with the previous classification systems developed by Statistics Canada since 1961. For more details, see http://www.statcan.gc.ca/imdb-bmdi/5103-eng.htm."
16,"Total economic activities that have been realized within the country. This includes both business and non-business sectors."
17,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 11-81, with the exception of owner occupied dwellings industry."
18,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 11, 21, 22, 23, 31-33."
19,"This combines the business establishments of the North American Industry Classification System (NAICS) code 11. Starting in 2014, the crop production industry incorporates the activities related to cannabis."
20,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 111, 112."
21,"This combines the business establishments for the North American Industry Classification System (NAICS) code 111 excluding 1114. Starting in 2014, the crop production industry incorporates the activities related to illegal cannabis."
22,"This combines the business establishments for the North American Industry Classification System (NAICS) code 112, excluding 1125"
23,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 1151, 1152."
24,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 212393, 212394, 212395, 212397, 212398."
25,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 213111, 213118."
26,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 213117, 213119."
27,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 2212, 2213."
28,"Special hybrid: corresponds to sections of the North American Industry Classification System (NAICS) code 23."
29,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 311-316, 321-327, 331-337, 339."
30,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3112, 3118, 3119."
31,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 31213, 31214."
32,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 313, 314."
33,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 315, 316."
34,"This combines the business establishments for the North American Industry Classification System (NAICS) code 324, excluding 32411."
35,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3255, 3256, 3259."
36,"This combines the business establishments for the North American Industry Classification System (NAICS) code 327, excluding 3273."
37,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3322, 3329."
38,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3332, 3333."
39,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3343, 3345, 3346."
40,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 41, 44-45, 48-49, 51, 52, 53, 54, 55, 56, 61, 62, 71, 72, 81 with the exception of owner occupied dwelling industry."
