"REF_DATE","GEO","DGUID","Labour productivity and related measures","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","52.2","","","","1"
"2006","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","52.9","","","","1"
"2007","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","53.0","","","","1"
"2008","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","52.6","","","","1"
"2009","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","52.3","","","","1"
"2010","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","52.8","","","","1"
"2011","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","53.8","","","","1"
"2012","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","53.8","","","","1"
"2013","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","54.6","","","","1"
"2014","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","56.3","","","","1"
"2015","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","56.1","","","","1"
"2016","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","56.3","","","","1"
"2017","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","57.2","","","","1"
"2018","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","57.4","","","","1"
"2019","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","57.6","","","","1"
"2020","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","61.7","","","","1"
"2021","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","59.4","","","","1"
"2022","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","59.1","","","","1"
"2023","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","58.1","","","","1"
"2024","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","57.9","","","","1"
"1997","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","44.0","","","","1"
"1998","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","45.0","","","","1"
"1999","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","46.5","","","","1"
"2000","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","48.6","","","","1"
"2001","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","49.5","","","","1"
"2002","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","50.4","","","","1"
"2003","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","50.6","","","","1"
"2004","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","51.0","","","","1"
"2005","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.2","","","","1"
"2006","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","53.0","","","","1"
"2007","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","53.2","","","","1"
"2008","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.6","","","","1"
"2009","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.1","","","","1"
"2010","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.4","","","","1"
"2011","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","53.6","","","","1"
"2012","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","53.5","","","","1"
"2013","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","54.5","","","","1"
"2014","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","56.6","","","","1"
"2015","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","56.5","","","","1"
"2016","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","56.8","","","","1"
"2017","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","57.7","","","","1"
"2018","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","58.0","","","","1"
"2019","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","58.2","","","","1"
"2020","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","63.3","","","","1"
"2021","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","60.6","","","","1"
"2022","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","60.3","","","","1"
"2023","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","59.1","","","","1"
"2024","Canada","2021A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","59.2","","","","1"
"1997","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","55.2","","","","1"
"1998","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","57.0","","","","1"
"1999","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","60.2","","","","1"
"2000","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","63.3","","","","1"
"2001","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","63.6","","","","1"
"2002","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","64.8","","","","1"
"2003","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","65.0","","","","1"
"2004","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","65.6","","","","1"
"2005","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.5","","","","1"
"2006","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.8","","","","1"
"2007","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.4","","","","1"
"2008","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.1","","","","1"
"2009","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","64.9","","","","1"
"2010","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.2","","","","1"
"2011","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","67.5","","","","1"
"2012","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.8","","","","1"
"2013","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","68.5","","","","1"
"2014","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","72.0","","","","1"
"2015","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","72.2","","","","1"
"2016","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","73.4","","","","1"
"2017","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.0","","","","1"
"2018","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.5","","","","1"
"2019","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.0","","","","1"
"2020","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","79.3","","","","1"
"2021","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.1","","","","1"
"2022","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.4","","","","1"
"2023","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","72.2","","","","1"
"2024","Canada","2021A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","72.0","","","","1"
"1997","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","23.4","","","","1"
"1998","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","24.6","","","","1"
"1999","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","27.8","","","","1"
"2000","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","30.9","","","","1"
"2001","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","33.1","","","","1"
"2002","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","31.4","","","","1"
"2003","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","33.0","","","","1"
"2004","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","35.5","","","","1"
"2005","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","36.4","","","","1"
"2006","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","36.0","","","","1"
"2007","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","32.0","","","","1"
"2008","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","35.9","","","","1"
"2009","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","34.9","","","","1"
"2010","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","36.6","","","","1"
"2011","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","37.5","","","","1"
"2012","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","38.0","","","","1"
"2013","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","42.9","","","","1"
"2014","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","47.2","","","","1"
"2015","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","49.5","","","","1"
"2016","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","51.0","","","","1"
"2017","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","52.7","","","","1"
"2018","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","54.2","","","","1"
"2019","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","53.7","","","","1"
"2020","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","57.6","","","","1"
"2021","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","47.4","","","","1"
"2022","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","57.2","","","","1"
"2023","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","54.0","","","","1"
"2024","Canada","2021A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","57.9","","","","1"
"1997","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","20.7","","","","1"
"1998","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","22.0","","","","1"
"1999","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","25.9","","","","1"
"2000","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","28.7","","","","1"
"2001","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","30.1","","","","1"
"2002","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","27.9","","","","1"
"2003","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","30.0","","","","1"
"2004","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.6","","","","1"
"2005","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","33.7","","","","1"
"2006","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.8","","","","1"
"2007","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","27.6","","","","1"
"2008","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.4","","","","1"
"2009","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","31.8","","","","1"
"2010","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.4","","","","1"
"2011","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","33.1","","","","1"
"2012","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","33.6","","","","1"
"2013","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","39.0","","","","1"
"2014","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","43.6","","","","1"
"2015","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","46.7","","","","1"
"2016","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","49.5","","","","1"
"2017","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","51.6","","","","1"
"2018","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","53.3","","","","1"
"2019","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","53.6","","","","1"
"2020","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","57.8","","","","1"
"2021","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","45.2","","","","1"
"2022","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","58.3","","","","1"
"2023","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","54.8","","","","1"
"2024","Canada","2021A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","60.0","","","","1"
"1997","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","33.7","","","","1"
"1998","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","36.3","","","","1"
"1999","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","50.8","","","","1"
"2000","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","58.3","","","","1"
"2001","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","55.2","","","","1"
"2002","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","41.0","","","","1"
"2003","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","48.5","","","","1"
"2004","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","58.2","","","","1"
"2005","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","65.4","","","","1"
"2006","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","60.0","","","","1"
"2007","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","40.5","","","","1"
"2008","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","47.2","","","","1"
"2009","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","46.3","","","","1"
"2010","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","41.7","","","","1"
"2011","Canada","2021A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","50.3","","","","1"
